objid,class,u,g,r,i,z,specObjID,spectrum
1237650795146445031,GALAXY,19.50913,17.59275,16.67357,16.20524,15.83744,299490502078654464,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0004.fits
1237648720142401670,GALAXY,19.48928,18.32375,17.8396,17.52613,17.42273,299491051834468352,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0006.fits
1237650795146576091,GALAXY,19.96076,17.99332,16.84476,16.36045,15.93532,299492426224003072,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0011.fits
1237650795146444862,GALAXY,19.06883,17.61594,16.96992,16.57557,16.34017,299494075491444736,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0017.fits
1237650795146575935,GALAXY,19.9029,18.33512,17.60977,17.20725,17.14689,299494350369351680,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0018.fits
1237650794609574093,GALAXY,19.06631,17.28672,16.36084,15.93414,15.64183,299494900125165568,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0020.fits
1237650794609442930,GALAXY,19.57915,17.8386,17.09641,16.75369,16.52514,299503146462373888,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0050.fits
1237650795146379447,GALAXY,19.01798,17.93103,17.34342,16.88812,16.70273,299504245974001664,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0054.fits
1237650795683446947,GALAXY,19.93985,18.11534,17.11774,16.61889,16.22616,299506444997257216,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0062.fits
1237648720679338241,GALAXY,19.18357,17.87089,17.18381,16.7223,16.46387,299507544508884992,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0066.fits
1237648721216209055,GALAXY,19.61093,17.55369,16.56477,16.08626,15.70859,299511117921675264,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0079.fits
1237650795146248304,GALAXY,19.10097,17.5341,16.71039,16.29563,15.99053,299515241090279424,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0094.fits
1237650795683315926,GALAXY,19.79744,18.21555,17.1953,16.69271,16.34439,299517440113534976,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0102.fits
1237648721216078463,GALAXY,19.98627,18.38253,17.67082,17.26526,16.9394,299517714991441920,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0103.fits
1237648720679272605,GALAXY,19.92043,18.59263,17.77565,17.28881,17.0522,299517989869348864,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0104.fits
1237648720679272634,GALAXY,19.39223,17.62965,16.70941,16.23641,15.87659,299518539625162752,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0106.fits
1237650795683250403,GALAXY,19.19587,17.66565,16.74784,16.26746,15.93694,299518814503069696,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0107.fits
1237650795683381380,GALAXY,19.9328,17.8861,16.61416,16.06583,15.61149,299519639136790528,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0110.fits
1237650795683250326,GALAXY,19.38298,17.2191,16.25769,15.72118,15.37289,299528160351905792,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0141.fits
1237648721216012470,GALAXY,19.26575,17.19656,16.14222,15.62667,15.23055,299528984985626624,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0144.fits
1237650795683250319,GALAXY,19.38812,17.59771,16.70914,16.18687,15.83476,299530909130975232,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0151.fits
1237650795683250364,GALAXY,19.93553,18.65476,18.01096,17.58537,17.2618,299531733764696064,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0154.fits
1237648721215946884,GALAXY,19.80448,17.53334,16.41644,15.90169,15.45674,299535032299579392,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0166.fits
1237650795683053709,GALAXY,19.85703,17.87607,16.82849,16.34171,15.95583,299539155468183552,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0181.fits
1237648721215815722,GALAXY,19.87997,17.77204,16.56086,16.07314,15.65467,299539980101904384,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0184.fits
1237648720678944999,GALAXY,19.66424,18.44821,17.59212,17.18931,16.92415,299540254979811328,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0185.fits
1237648721215815838,GALAXY,19.88306,18.2925,17.38795,16.85716,16.48725,299541354491439104,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0189.fits
1237650796219859165,GALAXY,19.68797,18.31762,17.52679,17.07348,16.79895,299543003758880768,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0195.fits
1237648721215750366,GALAXY,19.19608,18.1223,17.59863,17.23586,17.00116,299544103270508544,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0199.fits
1237655178159915217,GALAXY,19.97465,18.2029,17.16567,16.64829,16.25918,299545202782136320,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0203.fits
1237650794609180823,GALAXY,19.57929,19.1722,18.81164,18.5493,18.84155,299546852049577984,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0209.fits
1237650795146051795,GALAXY,19.82089,17.91287,17.03512,16.65298,16.32409,299549051072833536,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0217.fits
1237650795145986089,GALAXY,19.04225,17.2058,16.23001,15.78706,15.4472,299556197898414080,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0243.fits
1237648720678682916,GALAXY,19.2059,18.13602,17.51902,17.11731,16.91424,299559221555390464,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0254.fits
1237650796219728015,GALAXY,19.63886,18.21568,17.49388,17.06314,16.81933,299561420578646016,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0262.fits
1237650795682791626,GALAXY,19.71279,18.11381,17.35777,16.91405,16.58843,299562245212366848,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0265.fits
1237648721215553783,GALAXY,19.78692,18.05556,17.13443,16.64783,16.29013,299564169357715456,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0272.fits
1237650796219728147,GALAXY,19.9584,18.57812,17.80239,17.40459,17.09823,299565543747250176,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0277.fits
1237650794609049737,GALAXY,19.61127,18.03172,17.3104,16.87752,16.62043,299567742770505728,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0285.fits
1237648720141746448,GALAXY,19.86018,18.26665,17.4537,17.06646,16.82588,299569117160040448,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0290.fits
1237650795145920715,GALAXY,19.35281,18.22243,17.66375,17.33023,17.20436,299569392037947392,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0291.fits
1237648720678682871,GALAXY,19.65915,17.81633,16.91417,16.52513,16.19844,299569666915854336,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0292.fits
1237650795145855144,GALAXY,19.49874,18.1691,17.31852,16.86279,16.57492,299570491549575168,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0295.fits
1237650796219662479,GALAXY,19.89261,18.35007,17.59566,17.14077,16.85494,299573790084458496,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0307.fits
