objid,class,u,g,r,i,z,specObjID,spectrum
1237648720142532813,QSO,19.94564,19.53407,19.41484,19.27604,19.22031,299490227200747520,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0003.fits
1237650795146379439,QSO,19.7729,19.57469,19.34509,19.17055,19.2201,299505345485629440,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0058.fits
1237650796220252317,QSO,19.71363,19.37994,19.26442,18.99882,18.9222,299511392799582208,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0080.fits
1237650795146182789,QSO,19.64765,19.11908,18.64806,18.39454,17.9302,299523762305394688,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0125.fits
1237650795146182823,QSO,19.8738,19.80599,19.72156,19.66629,19.25385,299525961328650240,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0133.fits
1237650795683184784,QSO,19.86042,19.53846,19.21879,19.09553,18.61816,299533657910044672,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0161.fits
1237650796219924600,QSO,19.5897,19.39754,18.70409,18.44611,17.84686,299544378148415488,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0200.fits
1237650795146051693,QSO,19.32053,18.98893,18.71903,18.69095,18.69931,299546577171671040,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0208.fits
1237648721215750304,QSO,19.50714,19.23979,19.16621,18.94246,18.90225,299551250096089088,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0225.fits
1237650796219793525,QSO,19.7217,18.12853,17.30869,16.81486,16.52249,299551799851902976,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0227.fits
