objid,class,u,g,r,i,z,specObjID,spectrum
1237651799622680623,STAR,19.64961,18.4661,17.96742,17.93411,17.73956,300650486476859392,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0267/spec-0267-51608-0128.fits
1237648720143122475,STAR,19.18425,18.82226,18.88585,18.99604,19.10036,300642515017558016,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0267/spec-0267-51608-0099.fits
1237650796757319859,STAR,19.44665,18.30514,18.26329,18.29632,18.37611,299661751014680576,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0627.fits
1237650796220383270,STAR,19.13798,17.85191,17.31316,17.08515,16.97295,299651855410030592,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0591.fits
1237648721752752179,STAR,19.15788,17.7479,17.14509,16.89937,16.79196,299626016886777856,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0497.fits
1237648721752555568,STAR,19.21325,17.87414,17.30285,17.08316,16.96183,299596604950734848,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0390.fits
1237648721752424633,STAR,19.31524,18.13212,17.66966,17.49767,17.44192,299584510322829312,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0346.fits
1237650795682726190,STAR,19.3617,18.94532,19.04762,19.22033,19.35802,299575714229807104,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0314.fits
1237650796220907539,STAR,19.25899,18.01216,17.56735,17.41138,17.37058,301824765314754560,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0268/spec-0268-51633-0304.fits
1237654669735690438,STAR,19.32964,17.72834,17.12213,16.89128,16.81885,301769789733365760,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0268/spec-0268-51633-0104.fits
1237651800160206926,STAR,19.06956,17.78663,17.24455,17.01967,16.92762,301753846814763008,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0268/spec-0268-51633-0046.fits
1237648721753669788,STAR,19.80271,18.65196,18.57327,18.59013,18.5963,300746968622196736,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0267/spec-0267-51608-0479.fits
1237650796757319805,STAR,19.52021,18.2002,17.63444,17.40029,17.28639,300711784250107904,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0267/spec-0267-51608-0351.fits
1237648721752948868,STAR,19.36543,17.89001,17.24163,16.98895,16.86021,300709585226852352,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0267/spec-0267-51608-0343.fits
1237650795146707159,STAR,19.31688,18.10353,17.62638,17.47625,17.41743,300695841331505152,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0267/spec-0267-51608-0293.fits
1237650795146772611,STAR,19.9236,18.63096,17.99557,17.8342,17.66929,300684296459413504,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0267/spec-0267-51608-0251.fits
1237651800161124476,STAR,19.23717,18.22872,18.04224,18.02493,18.04264,302895694287497216,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0269/spec-0269-51910-0104.fits
1237648722293162173,STAR,19.81635,18.30052,17.3779,16.86374,16.48495,305231056531908608,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0408.fits
1237651799623729327,STAR,19.98298,18.45601,17.84763,17.58078,17.47089,302901466723543040,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0269/spec-0269-51910-0125.fits
1237651799623860377,STAR,19.43397,18.06219,17.48645,17.21515,17.1594,302901741601449984,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0269/spec-0269-51910-0126.fits
1237648721216405598,STAR,19.26376,18.79219,18.93131,19.10477,19.3075,299499573049583616,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0037.fits
1237650795146576079,STAR,19.44308,18.08289,18.09107,18.14629,18.21836,299493525735630848,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0266/spec-0266-51630-0015.fits
1237651801771737302,STAR,19.32747,18.35874,18.10139,18.00257,17.9826,303016090810738688,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0269/spec-0269-51910-0542.fits
1237651752388067339,STAR,19.87191,18.47401,17.96778,17.76715,17.88775,304158483375220736,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0270/spec-0270-51909-0602.fits
1237648721220009986,STAR,19.13244,17.76771,17.25497,17.02957,16.96527,305127427560990720,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0031.fits
1237651800699437193,STAR,19.22646,18.11509,18.03396,18.06345,18.13453,305140346822617088,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0078.fits
1237654668663390361,STAR,19.97653,18.76163,18.60623,18.60958,18.66899,305196147037726720,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0281.fits
1237654668662079740,STAR,19.81221,17.41221,16.43608,16.11584,15.92377,302923182078191616,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0269/spec-0269-51910-0204.fits
1237651799623729253,STAR,19.17354,17.48372,16.82228,16.58324,16.44087,302923456956098560,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0269/spec-0269-51910-0205.fits
1237654668662079597,STAR,19.53531,17.51266,16.73376,16.42279,16.20962,302924556467726336,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0269/spec-0269-51910-0209.fits
1237651799623729305,STAR,19.46237,18.17224,17.62489,17.41772,17.3106,302925106223540224,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0269/spec-0269-51910-0211.fits
1237651799623729215,STAR,19.2254,17.69781,17.14812,16.9545,16.87421,302926480613074944,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0269/spec-0269-51910-0216.fits
1237648721217912990,STAR,19.04742,17.93671,17.54473,17.39905,17.35664,302928404758423552,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0269/spec-0269-51910-0223.fits
1237654670274789596,STAR,19.06692,18.18308,17.88158,17.77684,17.76803,305283558212134912,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0271/spec-0271-51883-0599.fits
1237651799626350747,STAR,19.44195,18.04496,17.53127,17.34667,17.24647,306256352097888256,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0042.fits
1237654668664569929,STAR,19.13803,18.12644,17.81882,17.71365,17.65524,306268446725793792,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0086.fits
1237648720146596052,STAR,19.67966,18.23792,17.71212,17.51651,17.37553,306270920626956288,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0095.fits
1237651800700223583,STAR,19.09072,17.94322,17.50859,17.34351,17.24327,306277792574629888,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0120.fits
1237654669200326851,STAR,19.34641,18.91273,18.93392,19.05814,19.21535,303995205898496000,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0270/spec-0270-51909-0008.fits
1237651800161976470,STAR,19.91032,18.84238,18.71676,18.70128,18.66298,304000978334541824,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0270/spec-0270-51909-0029.fits
1237654669736804509,STAR,19.82011,18.76522,18.27483,18.06082,17.94219,304032864171747328,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0270/spec-0270-51909-0145.fits
1237648720681828474,STAR,19.6352,19.39811,19.44875,18.84854,18.24402,304042759776397312,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0270/spec-0270-51909-0181.fits
1237654669736542424,STAR,19.47408,18.3413,18.18035,18.15031,18.13699,304077944148486144,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0270/spec-0270-51909-0309.fits
1237651801771737156,STAR,19.0119,17.93952,17.56499,17.4458,17.36945,304089214142670848,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0270/spec-0270-51909-0350.fits
1237648722829377610,STAR,19.04082,17.8415,17.41582,17.26509,17.1915,304114777788016640,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0270/spec-0270-51909-0443.fits
1237648722829443211,STAR,19.21669,18.04319,17.51435,17.29441,17.18218,304152436061267968,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0270/spec-0270-51909-0580.fits
1237654669201178809,STAR,19.34301,18.05499,17.50162,17.25947,17.12003,306302806464161792,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0211.fits
1237648720683008160,STAR,19.59302,17.67654,16.86604,16.57296,16.40544,306320123772299264,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0274.fits
1237654668664111232,STAR,19.25827,18.83861,18.87795,18.9604,19.0295,306324246940903424,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0289.fits
1237648722293948593,STAR,19.60449,18.00175,17.42719,17.26097,17.19685,306371525940897792,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0461.fits
1237648721757274313,STAR,19.66217,18.18503,16.95466,16.6812,16.51926,306385544714151936,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0512.fits
1237648721757339662,STAR,19.0603,17.80398,17.2156,16.97942,16.81629,306397914219964416,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0557.fits
1237651752389443929,STAR,19.85727,19.96947,20.25316,20.58478,20.83625,306400937876940800,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0568.fits
1237648722294210643,STAR,19.05948,18.07227,17.652,17.47473,17.40324,306402037388568576,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0272/spec-0272-51941-0572.fits
1237654668665618549,STAR,19.49142,18.40883,17.94992,17.73498,17.57766,307382802028980224,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0044.fits
1237654668665356420,STAR,19.90344,17.33044,16.26156,15.87356,15.6474,307409190308046848,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0140.fits
1237648721221320726,STAR,19.44931,18.38497,18.22544,18.18693,18.19787,307413863232464896,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0157.fits
1237648720684318888,STAR,19.88674,20.08474,20.31977,20.62232,20.77357,307415512499906560,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0163.fits
1237648721221058714,STAR,19.43499,18.33464,18.18367,18.15889,18.1902,307425682982463488,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0200.fits
1237648720147185909,STAR,19.84282,18.83361,18.64392,18.58559,18.59285,307429531273160704,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0214.fits
1237654669202096253,STAR,19.34788,18.13254,18.0887,18.0878,18.11056,307430355906881536,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0217.fits
1237648720147120407,STAR,19.48513,18.17342,17.63932,17.43875,17.34199,307439151999903744,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0249.fits
1237648720683925726,STAR,19.69077,19.67331,20.01991,20.32141,20.62257,307444374680135680,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0268.fits
1237648721220796501,STAR,19.24876,18.26481,18.02013,17.90464,17.88561,307447398337112064,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0279.fits
1237648722294276267,STAR,19.59832,18.32785,18.38806,18.49566,18.59622,307460042720831488,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0325.fits
1237654671349121276,STAR,19.25958,18.82926,19.05772,19.29431,19.41757,307463341255714816,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0337.fits
1237648722294276378,STAR,19.98032,19.88001,20.21411,20.42379,20.55035,307463616133621760,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0338.fits
1237651801773899857,STAR,19.24439,17.91753,17.39071,17.1705,17.05314,307466364912691200,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0348.fits
1237654670812315650,STAR,19.0305,17.84415,17.62555,17.55908,17.55265,307466914668505088,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0350.fits
1237648722831409318,STAR,19.54728,18.52786,18.37679,18.36286,18.39409,307473236860364800,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0373.fits
1237648722294603787,STAR,19.02958,17.91945,17.84712,17.88435,17.89866,307474336371992576,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0377.fits
1237648722294669422,STAR,19.07288,18.08909,17.70694,17.55522,17.50014,307483682220828672,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0411.fits
1237648722831605885,STAR,19.83509,18.78035,18.68047,18.69159,18.6962,307484506854549504,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0414.fits
1237648721757798676,STAR,19.98661,18.92365,18.77129,18.73068,18.7889,307490279290595328,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0435.fits
1237654670812971179,STAR,19.95024,18.85673,18.63493,18.54735,18.58497,307509795621988352,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0506.fits
1237648722294931610,STAR,19.73103,18.54198,18.47675,18.49577,18.5587,307516942447568896,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0532.fits
1237651752390164564,STAR,19.83926,18.83087,18.62947,18.57915,18.59521,307517217325475840,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0533.fits
1237648721758388525,STAR,19.70792,18.59963,18.16953,17.99005,17.94967,307532610488264704,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0589.fits
1237648721758323027,STAR,19.30612,18.14392,17.94959,17.92893,17.95881,307534534633613312,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0596.fits
1237654671350038627,STAR,19.26919,17.99645,17.69671,17.60698,17.49522,307537558290589696,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0607.fits
1237654671350038597,STAR,19.545,19.04208,19.08412,19.176,19.23943,307539757313845248,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0615.fits
1237648721221582928,STAR,19.31422,18.8964,19.11862,19.37285,19.4795,308579894575523840,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0274/spec-0274-51913-0303.fits
1237654670813298803,STAR,19.53721,18.22706,17.68686,17.43234,17.34455,308595287738312704,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0274/spec-0274-51913-0359.fits
1237654669202620546,STAR,19.28895,17.98644,17.98704,17.99604,18.06744,307371257156888576,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0273/spec-0273-51957-0002.fits
1237674650457800895,STAR,19.15363,17.99594,17.48756,17.26017,17.18579,309654667141343232,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0275/spec-0275-51910-0117.fits
1237648720685563944,STAR,19.04792,17.87355,17.49184,17.36779,17.32713,309696173705291776,http://data.sdss3.org/sas/dr9/sdss/spectro/redux/26/spectra/0275/spec-0275-51910-0268.fits
